ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2023-12-23T10:08:42Z,phone,1578,Y.O.Universe,VCHA,SeVit (NEW LIGHT),spotify:track:0es6ZsB0mFqnCAAMCHjVUO,fwdbtn,True,True,7
2023-09-09T03:12:38Z,desktop,15847,I Wish I Wasn't Me,Eric Nam,House on a Hill,spotify:track:5nNBgRYDCMmczYXKsdpLCG,endplay,True,True,7
2023-09-05T03:14:35Z,desktop,7797,District 9,Stray Kids,SKZ2020,spotify:track:430IfeGHWJxnZOkhBYACt9,endplay,True,True,7
2023-07-05T20:35:21Z,desktop,7941,7PM (Feat. Peder Elias),BSS,BSS 1st Single Album 'SECOND WIND',spotify:track:6tAPw1Rtt3SGEOm6ohYi8l,endplay,True,True,7
2023-10-09T15:58:54Z,desktop,27018,Exist,Eric Nam,House on a Hill,spotify:track:5pN3aV3fTyaXOJzlb6Q9Hz,fwdbtn,True,True,7
2023-06-06T02:35:14Z,desktop,62717,What I Want,fromis_9,Unlock My World,spotify:track:4NPFma0onsuGO2wACs41Sl,endplay,True,True,7
2023-12-20T03:49:39Z,desktop,108100,The Wire,Francis Novotny,The Wire,spotify:track:7fVbjbgSgdFCVoOXqI0f9g,endplay,True,True,7
2024-02-22T05:57:20Z,desktop,28780,Silence,Ama Lou,Silence,spotify:track:0nczSj6as1uJ8fZ91xsOLr,endplay,False,True,7
2023-12-18T22:54:13Z,phone,149684,IF you leave me,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',spotify:track:0ilwFWjTwXszzwaG3XlNWj,fwdbtn,True,True,7
2023-12-18T23:00:28Z,phone,18965,Pretty U,SEVENTEEN,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],spotify:track:1117juaaAkSIUsQxTmmcKM,fwdbtn,True,True,7
2023-12-17T00:58:36Z,desktop,5100,Liberated,NIve,Liberated / Who I Am,spotify:track:7khwY5m8orMRXdqvLhLAm0,fwdbtn,False,True,7
2024-02-25T03:08:55Z,desktop,117678,BET ON ME,ITZY,KILL MY DOUBT,spotify:track:5BCPIye83pj24VjCzQuL5F,endplay,True,True,7
2022-10-30T00:31:07Z,desktop,23000,I Won't,AJR,I Won't,spotify:track:1y8ooe9Zr1PMIxrOwNeeOi,fwdbtn,True,True,7
